,Tittel,Abstrakt,Årstall
514,Dividend Price Pressure on Oslo Stock Exchange: Assessing the effect of dividend reinvestments on daily market returns,"This thesis assesses the existence of dividend price pressure on Oslo Stock Exchange by
measuring daily market returns against aggregate dividend payment yields. The thesis studies
the period from January 2005 to November ...",2022
516,COVID-19 and Government Aid: An Economy on Life Support? An exploratory study of the effects of deferred tax payments in Norway during COVID-19,The number of bankruptcies in the Norwegian economy dropped substantially during the COVID-19 pandemic. We investigate to what extent the arrangement for deferred payments of tax and duty claims contributed to keeping ...,2022
517,"Dissecting Poisson based prediction models in association football: A comprehensive look at methodology, assumptions, and accuracy using data from the main European Leagues (2011 – 2022)","As the access to broader and better data increases, data analytics, statistical modeling,
and data science generally find ever-growing interest in sports analytics, including
association football. It is no secret that ...",2022
518,Leverage Buyout - Success or failure? Investigating the impact of excessive leverage on operating efficiency for US. companies.,"This thesis investigates the relationship between excessive leverage on operating efficiency
and lower debt levels. The period spans from 1990 - to 2018; however, the sample is
mainly concentrated around the mid-1990s ...",2022
521,Corporate Sustainability and Financial Performance: An empirical study of the moderating impact of compliance with sustainability reporting standards on the relationship between corporate sustainable performance and corporate financial performance.,"Identifying a link between corporate sustainability performance (CSP) and corporate financial performance (CFP) can be critical in convincing companies to be more responsible, whether in terms of correcting their own ...",2022
525,The Impact of Bonuses in the Context of Non-Governmental Organizations A qualitative study on how motivation among fundraising team leaders in the Norwegian branches of NGOs is affected by bonus schemes,"The aim of this master’s thesis is to uncover how bonuses affect the motivation among fundraising team leaders in Norwegian branches of non-governmental organizations. To do so, we present four additional research questions ...",2022
528,Sustainability Initiatives: Solution or Decoupling Tool? A Natural Resource-Based View on Sustainability and Financial Performance Effects of Membership in the UN Global Compact,"In absence of uniform global regulation for corporate sustainability conduct, initiatives
such as the United Nations Global Compact (UNGC) are being established to promote
voluntary ESG efforts. Although the UNGC claims ...",2022
534,Enhancing Fund Selection Using Supervised Machine Learning : Evidence From the Nordic Mutual Fund Market,"In this research we aim to extend the literature on the performance predictability in actively
managed mutual funds. We use the Nordic mutual fund market as our laboratory. We
develop a performance-enhancing system to ...",2022
536,The impact of implementing a fleet allocation and scheduling decision support system: Development and application of a machine learning event impact analysis framework,"Maritime scheduling software is a fairly new and dynamically growing industry. While statistical methods for event impact analysis are well research, they have yet to be applied to this new area. This master thesis ...",2022
537,Sustainability and Online Food Delivery Services in Norway: Does sustainability play a role in influencing the behavioural intention for the Platform-to- Consumer Online Food Delivery Services in Norway for young generations?,"In recent years, the over OFDs industry is overwhelming and at the same time, it has caused
quite a lot of environmental and societal challenges. Based on studies, Millennials and
Generation Z are the most motivated to ...",2022
538,Social Sustainability and Cost Competitiveness – beyond ‘winwins’? A Case Study of Facilitation-based Productivity Intervention in the Pakistani Garment Industry,"This thesis explores how a facilitation-based productivity intervention created by the
International Labour Organization (ILO) might play a role in handling tensions between
demands for social and environmental sustainability ...",2022
543,Determinants of Private Equity Exit Strategies: An Empirical Study of the Nordic Private Equity Market,"This thesis seeks to uncover the determinants of private equity (PE) exit strategies in the
Nordics by examining the three most common exit routes available to PE firms: secondary
buyouts (SBOs), initial public offerings ...",2022
545,Do Retail Investors Fall for Bad Boys? An empirical study of whether narcissistic CEOs manipulate retail investors into financial peril,"The purpose of this thesis is to investigate whether retail investment decisions are influenced
by CEO personalities, and whether it has adverse financial implications. Specifically, we are
interested in the notion that ...",2022
550,Online Ratings and Reviews: Are numerical ratings more persuasive than written reviews?,"In this thesis, the aim is to investigate the effect of numerical values and words on the
consumer decision process. Previous research has studied the effect of online rating and
review systems and how they influence ...",2022
551,Bu y on Intraday Market or not: A Deep Learning Approach :A decision tool for buyers in the Norwegian electricity markets to decide optimal market to purchase electricity,"As the share of variable renewable energy sources increases, so does the need for near-delivery
offloading of surplus electricity. The availability of potentially cheap energy sources in intraday
markets begs warrants ...",2022
552,Gender Gaps in Leadership: The Case of Savings Groups in Uganda: How can gender gaps in leadership positions be measured and explained? Are there gender differences in the perceptions of which leaders are influential?– A Literature Review and Investigation of Village Savings and Loans Associations (VSLAs) in Uganda,"Village saving and loans associations (VSLAs) play critical roles in many countries, including
Uganda, towards financial inclusion overall. VSLAs are critical in working towards two key
components to financial inclusion: ...",2022
553,Incorporating Sustainability into Innovation Methodologies: A qualitative case study on how the climate innovation program 20tretti combines Design Thinking and Systems Thinking to foster sustainability-oriented innovations,"The impacts of climate change are becoming more and more visible to the society as a
whole and consequently, sustainability has increased its importance and relevance. To
overcome climate challenges, innovation is a ...",2022
555,Prosesstenkning og prosesseierrollen i digitalisering: En kvalitativ casestudie av hvordan prosesstenkning bidrar til digitalisering og prosesseiers rolle i digitalisering,"Denne masteroppgaven har som formål å studere prosesstenkning og prosesseierrollen i
digitalisering. Begge sammenhengene finnes det lite empirisk forskning på, og det er der vår
studie kommer inn. Datainnsamlingen har ...",2022
558,Searching for Inflation: An Empirical Study of Real-Time Micro Behaviour Data on InflationNowcasts,This thesis introduces the application of real-time micro behaviour data in inflationnowcasts.  Our study analyses if ARIMA models extended with Google search dataimproves the prediction of divisions of inflation compared ...,2022
560,The Effect of Uncertainty on Investment Empirical evidence from listed Norwegian firms 2005-2018,"The relationship between uncertainty and investment is an extensively explored topic in
economic and financial literature. Regardless, the dramatic events of recent years have
reinvigorated the need to garner a greater ...",2022
563,The Influence of Financial News on Nordic Retail Investment Behaviour: An empirical study into the overpricing of Norwegian Air Shuttle,"The purpose of this study is to investigate the influence of financial media on Nordic retail
investment behaviour covering the overpricing of Norwegian Air shuttle during a period
of crisis.
We utilise a mixed methods ...",2022
568,SPACs: Financial IPO Tool Gone Wrong – Awaiting SEC Recourse: A Study on the Resurgence of SPACs Following the M2 Money Supply Stimulus by the Federal Reserve in March 2020,Ikke funnet,2022
580,Animal Welfare and Economics in the Dairy Industry: Is cow-calf contact the future of Norwegian milk production?,"In recent years, there has been an increased focus on animal welfare and sustainability in livestock production. In the case of dairy production, the practice of separating cow and calf at birth has been increasingly ...",2022
586,Did Financial Markets React to the Overturning of Roe v. Wade? An Event Study on the U.S. Stock Market’s Response to Legislation Aﬀecting Reproductive Rights,"Abortion has remained a contentious issue across the United States for the better part of the last century. On June 24th, 2022, the Supreme Court overturned Roe v. Wade which had provided constitutional protection of ...",2022
595,First-time acquisition of Sustainability-linked Debt in Shipping : Effects on Shareholder Distribution and Investor Appetite,"The allocation of capital to green projects has increased in recent years, as companies across
industries increase their commitments to become more sustainable. In a regulatory
environment where sustainability and an ...",2022
597,A Tale of Two Investors: Exploring Differences in Trading Behavior around Macroeconomic Announcements : A study of institutional and retail investors in the US market,"We study whether the trading behaviour of institutional and retail investors differs on the
days surrounding key macroeconomic announcements, and the impact of this difference
on equity premiums earned. Through analysis ...",2022
599,Optimal Scheduling of Nursing Shifts : A Case Study on Work Scheduling at Haukeland University Hospital,"This thesis presents a nurse scheduling problem tailored to characteristics common of
Norwegian hospitals. The problem involves allocating nurses to specific shifts to ensure
coverage of demand, while respecting work ...",2022
608,The Potential of Low-Carbon Hydrogen in Norway : A Linear Programming Analysis of Hydrogen Supply Chains in the Norwegian Energy System Towards 2050,"In this thesis, we conducted a linear programming analysis to assess the future potential for
domestic production and consumption of low-carbon hydrogen in Norway. Our analysis is
based on the Institute for Energy ...",2022
611,To what extent the UK emissions disclosure mandate of 2013 impacted the subsequent emissions level and ESG ratings?,"This research thesis aims at assessing the impact of the Companies Act 2006
(Strategic Report and Directors’ Report) Regulations 2013 on UK-incorporated listed firms’
subsequent level of emissions and ESG ratings. A ...",2022
614,Impact of Sanctions on Russian and Chinese Stock Markets : An empirical analysis based on stock data,"An ongoing war in Ukraine turned out to be the biggest event of 2022. Allied nations
decisively imposed series of sanctions that sent Russian economy into a turmoil. As shock and
awe of the first weeks of invasions ...",2022
615,Do Borrowers Benefit from Sustainability-Linked Loans? An analysis of explicit ESG information in loan contracts and borrowers’ incentives to enter sustainability-linked loans,"This thesis examines the explicit use of ESG information in loan contracts and borrowers'
incentives to enter sustainability-linked loans (SLLs). We explore whether shareholders
respond to announcements of sustainability-linked ...",2022
623,SPACs off Track: An Empirical Study on Attributes Affecting the Post-Merger Performance of De-SPAC Companies,Special Purpose Acquisition Companies ( acclaimed as a better alternative to theSPACs) —traditional IPO for taking a company public have been booming since 2020. This thesis—analyzes attributes affecting the post-merger ...,2022
632,The Impact of Expansionary Monetary Policy on Norwegian Stock Prices: A Structural Vector Autoregressive Analysis of the Past Three Decades,"This paper aims to evaluate the impact of domestic monetary policy shocks on Norwegian
stock prices, as well as the impact in a historically low interest rate environment.
Consequently, the analysis is comprised of ( l ...",2022
633,Usage Trend Analysis and Forecasting for Ride Sharing: A case of Bildeleringen : An empirical approach using the car-specific data,"Car-sharing is gaining a lot of popularity amongst users, as more people are finding various
instances and benefits to use this service. With this development, there is increasing number
of companies setting up car-sharing ...",2022
637,Leading Through an “Emotional Roller Coaster”: The Centrality of Emotion Management in Achieving Sustainable Innovation : A Qualitative Case Study from the Norwegian energy sector,"Organizations are increasingly expected to engage in sustainable innovation to remain
competitive, and leadership is essential to this process. Specifically, there is a great need for
sustainable innovations in the energy ...",2022
638,How Leadership Dynamics Differs in High- and Low- Performing Firms in a Sustainable Innovation Context : A Qualitative Case Study from the Health Tech Sector,"Leadership is essential to achieving sustainable innovation, yet research to date on innovation
tends to focus on individual leaders, while innovation leadership appears to be a collective and
dynamic process. While ...",2022
641,Effects of Sustainability Messages and Origin Cues on the Perceived Green Brand Equity of Norwegian Salmon,"This study contributes to research on how sustainability communication affects a brand’s
perceived green brand equity. This builds upon findings in earlier research and theory stating
that integrating sustainability with ...",2022
642,Analysing Fund Flow in the European Sustainable Mutual Fund Market : An Empirical Analysis of Sustainability-rated European Listed Mutual Funds before and after the Covid-19 recession,"We analyse the effect of the Morningstar Sustainability Rating on fund flow in the
European mutual fund market. The Covid-19 recession in March 2020 was a pivot for the
industry, and we look at one-year periods before ...",2022
643,Riding the Low-Beta Wave : What drives the performance of Betting Against Beta?,"This thesis seeks to explain the driving factors behind the Betting Against Beta (Frazzini
and Pedersen, 2014) portfolio. We start by replicating the BAB factor, and then construct
different portfolios in order to examine ...",2022
647,The Dynamics in Financial Markets During the Russia- Ukraine War : A quantitative analysis of stock prices in the oil and gas industry,"This thesis analyses the impact of statements regarding Russian petroleum during the Russia-
Ukraine war on stock prices of oil and gas companies in Europe. In addition, the paper analyses
differences in this impact on ...",2022
648,Is Materiality Key to Profit on Sustainability? An empirical analysis of material sustainability and its effect on stock performance on Oslo Stock Exchange,"In this thesis, we examine whether the companies’ focus and prioritization of material 
sustainability issues have value implications for companies listed in Norway. Material 
sustainability issues are those issues that ...",2022
657,Building Digital Foundations: A Course of Action Towards a Circular Construction Industry : An Exploratory Case Study,"This thesis aims to explore the potential for digital platform ecosystems to support the
development of the circular economy in the Norwegian construction industry. While there is
a general understanding among scholars ...",2022
663,Can LAW be justified to prevent financial instability? A cost-benefit analysis of leaning against the wind (LAW) in Norway : Evidence from a Bayesian VAR model,"Since the 2008 Global Financial Crisis, there has been an ongoing debate about how central
banks can prevent future financial crises by mitigating the build-up of financial imbalances.
We analyse the effect of incorporating ...",2022
665,The Initial IPO Market Selection : An empirical study on firm-specific variables affecting the process and performance of IPOs listed on the Norwegian stock exchanges between 2007-2021,"This thesis studies the effects of firm-specific characteristics on initial marketplace choice and
post-IPO performance for IPOs on the Norwegian stock exchanges from 2007 to 2021. From a
tailored data set of 288 listings ...",2022
672,Trying to Beat the Market : An Empirical Analysis of the Historical and Potential Active Returns of the Government Pension Fund Global,"The Government Pension Fund Global (hereafter the GPFG) helps finance the Norwegian welfare state 
and aims to be managed in such a way that it benefits both current and future generations. Today, 
the fund is managed ...",2022
674,The Smart Way to Heat : Analysing the Performance of Smart Heating Compared to Established Heating Practices in Norwegian Homes,"Europe’s rapid shift towards renewable energy and electrification has led to a global energy crisis 
with accelerating power prices. This development has raised our curiosity about whether smart 
heating can reduce ...",2022
676,Carbon Risk in Cross-Border Acquisitions : Do acquirers consider carbon risk in cross-border acquisitions?,"In this master thesis, we study the role of carbon risk in acquisition decisions and how it
is related to announcement returns. We analyze the likelihood of cross-border acquisitions
based on certain industry and target ...",2022
677,Does climate transition investments pay off? An empirical analysis of active Nordic funds and performance effects of exposure to carbon transition risk,"Sustainable finance and investment strategies have received increasing attention the
previous years. In this thesis, we investigate the performance effects of carbon transition
risk exposure in Nordic mutual funds. The ...",2022
681,The Effect of Cross-border M&A on Shareholder Wealth : a European event study,"This thesis aims to examine the effect of cross-border M&A transactions in the EU /EFTA.
First, we find no cumulative abnormal return (CAR) differences between domestic and
foreign acquirers. However, we discover a ...",2022
685,Reject or Embrace   Electric Cargo Bikes?  An investigation of the Sustainability Effects of a Transition from Electric Vans to Electric Cargo Bikes in Last-Mile Delivery,"In the recent period, there has been a massive increase in e-commerce. This has vastly changed Norwegian customers' shopping behavior and provided an increase in last-mile delivery. Simultaneously, the focus on sustainability ...",2022
686,Why Do Merger Premiums Vary Across Industries and Through Time? Explaining merger premiums by time-varying industry factors,"To understand how merger premia vary across industries and over time, we analyze 1184 deals
involving US public targets and acquirers between 2010 and 2020. The variables and
methodology are inspired by Madura, Ngo & ...",2022
691,Deceptive Communication in Sustainability Reports : A study of the opportunities to deceive in sustainability reports and the consequences on stakeholders’ perceptions,"Paltering and obfuscation are two particularly enticing forms of deception as they do not
contain untruthful statements when misleading the reader. This thesis studies deceptive
communication in corporate sustainability ...",2022
694,Why Does It Feel So Good To Be Bad? An empirical analysis of traditional and modern sin stock returns in developed countries from January 2000 to August 2022,"This study aims to give managers and investors a better financial basis to assess whether they
should be exposed to sinful companies. Accordingly, this thesis examines the presence of alpha
for sin stocks in developed ...",2022
696,Navigating the Capital Structure Maze : Firm Performance for the Nordic Real Estate Market : An Empirical Study of the Relationship between Capital Structure and Firm Performance,"This thesis aims to evaluate the relationship between capital structure and firm performance
for Nordic real estate firms. More specifically the thesis aims to answer the research
questions (l) ""Does the capital structure ...",2022
705,Hydrokarboners oppstandelse : En empirisk analyse av endringer i investorsentimentet for oljeog gasselskaper i utviklede markeder som følge av Russlands invasjon av Ukraina i 2022,"Som en følge av Russlands invasjon av Ukraina 24. februar 2022, har investorsentimentet for olje- og gasselskaper i utviklede markeder sett en signifikant endring. Funnene i oppgaven viser at investorer betaler relativt ...",2022
706,ESG Ratings and Financial Performance : An Empirical Investigation of the Link Between ESC Ratings and Stock Performance in Emerging Markets,"Our study aimed to investigate the relationship between Environmental, Social, and
Governance (ESC) performance and financial performance in emerging markets. We
collected ESC scores from three different rating providers ...",2022
709,The link between ESG and financial performance of the Nordic banks : AnEmpirical Analysis of the Relationship Between ESG Scores and Financial Performance of the Banks in the Nordic Region,"This study examines the relationship between financial performance (FP) and ESG
performance of banks in the Nordic region. ESG-FP link is examined using fixed effect and
2SLS regressions on two samples of data obtained ...",2022
721,Launch of sustainability labels : Effects of linking sustainability to major drivers for choice,"Many food producers improve the sustainability of their products and look for ways of
communicating the improvement. One approach is to launch a new sustainability label.
However, little is known about how to launch new ...",2022
722,Adoption of green technology : Do temporary electricity price shocks affect the adoption of heat pumps?,"In this thesis, we aim to explore if temporary electricity price shocks affect adoption of
heat pumps. In order to do this we construct panel data by combining sources from
Enova and NordPool on number of subsidized heat ...",2022
727,"Norway – the Black Sheep in the Scandinavian Grocery Industry : A Comparative Study of Profitability, Efficiency, and Productivity in the Scandinavian Grocery Market","The prevalent view of excessive profits in Norwegian grocery chains has made it an important
matter for politicians, competition authorities, and the media. It is often claimed that the
competition in the Norwegian grocery ...",2022
728,Precision Pricing : An experimental study on the perception of precise prices,"This thesis aims to achieve new contributions and insight on how a precise price affects
consumer perception of both firms and products. The study is based on an experimental
survey, conducted through Prolific, Amazon ...",2022
730,Active Mutual Fund Performance: Pandemic vs Financial Crisis : A study of Norwegian active mutual funds’ ability to create excess return during uncertain times.,"The covid-19 pandemic had significant effect on economies and markets all over the world.
Therefore, there is high interest in findings around the matter. There is, however, limited
research of fund performance during ...",2022
734,A Seat at the Table : The Norwegian Board Gender Quota: A Study on Indirect Effects,"Twenty years ago, Norway led the way with the first board gender quota on ASA1 and is now
considering extending the legislation to AS. This paper examines if the existing board gender
quota has fulfilled one of its main ...",2022
743,Measuring decentralised finance regulatory uncertainty,"develop and compare two DeFi regulatory uncertainty indexes based on the specialised media
coverage frequency. By applying active learning in combination with SVM to identify
uncertainty-related news articles, I show how ...",2021
745,Atlantic Sapphire ASA : fundamental verdsettelse og strategisk analyse,"Formålet med masterutredningen er å estimere egenkapitalverdien til Atlantic Sapphire ASA
per 14. mai 2021. Fundamental verdsettelse ved bruk av en to-periodisk DCF-modell er valgt
som verdsettelsesmodell. Som et supplement ...",2021
746,Monetary policy in crisis : an assessment of the Norwegian monetary policy response to the Covid-19 pandemic,"In order to assess the monetary policy response to the ongoing crisis, this thesis combines a
broad case study with detailed graphical analyses of key events and economic variables. We
discuss how a broad range of policies ...",2021
748,Assessing and explaining the proficiency of social media marketing in small ministries :  a comparative case study,"This thesis seeks to understand how small nonprofit ministries approach social media marketing, and what their strengths and weaknesses are compared to normative theory.
The research is conducted as a comparative case ...",2021
751,Determinants of equity crowdfunding success in Norway : an empirical study of how different factors affect the success of equity crowdfunding in the Norwegian market,"Equity crowdfunding is a new form of Fintech which has the potential to disrupt traditional models
of financing in Norway. The crowdfunding platforms use an all-or-nothing strategy, meaning if
the fundraising objective ...",2021
757,Investor protection's effect on the method of payment in M&A : an empirical study on how the method of payment in corporate acquisitions is affected by the level of investor protection in the country of the acquiror,"When shareholders of target companies get paid with stock, they may face   an   increased   risk   
of   expropriation   by   becoming   minority shareholders in a new company. Thus, when target 
shareholders receive ...",2021
759,ESG ratings and stock performance : an empirical investigation of the link between ESG ratings and stock performance of European large cap firms,"This thesis investigates the link between ESG ratings and stock performance of European large capitalization firms. Using ESG ratings from three independent providers – Thomson Reuters, Bloomberg and Sustainalytics – we ...",2021
772,Taxation and innovation : an empirical study of the impact of corporate taxation on innovation in Europe,"This master’s thesis aims to study the empirical relationship between taxation and innovation in Europe. To analyse this relationship, we propose the following research question: How do corporate income tax rates impact ...",2021
782,Encouraging sustainable behaviour in the wine market : the effect of carbon labeling on the choice of wine contained in climate-smart packaging,"The purpose of this study is to investigate if carbon labels can be used to encourage consumers to act more sustainably in the wine market. As most of the CO2-emissions of a bottle of wine are linked to the packaging, ...",2021
784,Stock market reactions to firm-specific ESG news :  an empirical analysis of the effect of positive and negative firmspecific ESG news on stock market returns and trading volume at the Oslo Stock Exchange,"This empirical analysis investigates the effect of firm-specific ESG news on daily stock returns and trading volume in the period 2010-2020, and seek to examine whether non-financial ESG news is valuable for investors. We ...",2021
785,Variations in suspicious activity reports : an exploration into the factors that may explain why reporting levels,"The risk-based approach (RBA) was initially introduced in 2013 by the Financial Action Task
Force (FATF) as a solution to the increasing volumes of suspicious activity reports (SARs)
filed by regulated entities and the ...",2021
788,Sustainability enforcement : a qualitative study into the drivers and barriers of sustainable value creation : a Norwegian salmon farming context,"As the salmon farming industry is expected to increase production fivefold by 2050, it is pertinent to explore how the firms in the industry manage their business operations. The purpose of this Master Thesis is to examine ...",2021
789,Predicting  takeover  targets on  Oslo stock exchange : an extension to the  prediction  literature  on the  Norwegian  M&A market,The purpose of this research is to extend the previous literature on prediction of takeover targets on Oslo Stock Exchange. We aim to improve the prediction model developed by Khan and Myrholt (2018) by introducing new ...,2021
792,An analysis of intraday liquidity patterns in the dry bulk FFA market,"This thesis investigates different liquidity measures in the dry bulk FFA market by analyzing
intraday data of quarterly FFA contracts obtained from Braemar Atlantic Securities Limited.
Through intraday data, we conduct ...",2021
795,Using a laddering approach to understand consumers opinions on corporate CSR and sustainability activities,"This thesis builds upon the emerging area of corporate social responsibility (CSR) research
termed Materiality Analysis, and examines in-depth interviews, to determine if there is the
possibility of a set of universal ...",2021
797,Filtering by footprint : nudging Norwegian wine consumers towards sustainable packaging choices,"This  paper  evaluates  the  problem  of  the  misalignment  between  values  and  behaviors  among 
Norwegian  consumers  in  the  selection  of  environmentally  friendly  wines  and  presents  an  
online nudge strategy ...",2021
798,Sustainable investment : factors influencing the adoption of a sustainable investment strategy : examining how different factors influence the adoption of sustainable investment strategies.,"With the growth of ESG investing across the finance industry, this paper seeks to explore how different factors influence the adoption of a sustainable investment strategy, with a predominant focus on large asset managers. ...",2021
799,The Nordic High Yield Green Bond Market : Construction and Performance Analysis of a Corporate Green Bond Index,"The aim of this thesis is to study the Nordic high yield green bonds and their performance
in the secondary market from 2019 until today, with a focus on the crisis following the
outbreak of the Covid-19 pandemic. The ...",2021
800,Purchasing sustainable clothing : The influence of Design and Sustainability factors on Purchase Intention of Sustainable clothing.,"The purpose of this study is to examine factors that influence consumers' intentions to buy sustainable clothing. The fashion industry poses many sustainability challenges that are widely recognized by consumers, manufacturers ...",2021
802,The effect of patents on financial constraints : an empirical analysis of Norwegian companies 2009-2018,"In this thesis, we investigate the relationship between patenting activity and financial
constraints for a broad panel of Norwegian companies between 2009-2018. The research is
inspired by Hottenrott, Hall and Czaranitzki ...",2021
803,Unleashing the potential in ambassador programs : identifying concrete measures to improve the efficiency of ambassador programs,"This thesis aims to analyze how SafetyWing can improve the efficiency of its ambassadors
and what the implications are for ambassador programs in general. Ambassador programs
are an expanding part of digital marketing ...",2021
804,The board of directors and underpricing in the Nordic countries : the relationship between board characterstics and short-term underpricing of IPOs,"This thesis examines the relationship between the characteristics of the board of directors and short term underpricing of initial public offerings, using a sample of 326 firms from the main listings of Norway, Sweden, ...",2021
805,Does fossil fuel divestment contribute to the clean energy transition? : an event study on fossil fuel divestment announcements,"This thesis aims to assess whether fossil fuel divestment announcements of institutions have a financial impact on the energy transition, by utilizing event study methodology to measure abnormal returns and trading volume ...",2021
806,"Digitalization, a firm’s COVID-19 vaccination? : do more digitalized firms outperform less digitalized firms during the pandemic?","This paper examines how the first nine months of the COVID-19 pandemic have impacted
more and less digitalized firms in Norway. Our main hypothesis is that more digitalized
firms outperform their less digitalized ...",2021
808,Going where you're treated best : tax-based migration from high to low tax jurisdictions,"Many Western and Scandinavian have continued to raise taxes while the cost of living in their countries has continued to rise. In contrast, the amount of subsequent benefit the individual taxpayer receives continues to ...",2021
812,"ESG: All Bark and No Bite? Exploring the utility of environmental, social and governance variables in empirical asset pricing via machine learning","In this thesis I investigate the impact of including environmental, social and governance
(ESG) variables in explaining the cross section of expected stock returns. Using
three machine learning frameworks applied to a ...",2021
815,Datadrevet innovasjon: Er dataintensiv problemløsing en oppgave for økonomen eller teknologen?,"I samarbeid med DIG-senteret ved NHH og Knowit har vi i denne oppgaven forsket
på hvordan humankapital påvirker evnen til datadrevet innovasjon. Et datadrevet
forsikringscase ble benyttet til å generere kreative ideer ...",2021
823,Digitale opplæringsprogrammer i etablerte bedrifter : En casestudie av Norsk Hydro ASA og deres Digital Accelerator Training Program,Denne masteroppgaven har studert hvordan digitale opplæringsprogrammer i etablerte bedrifter kan bidra til å styrke de ansattes digitale kompetanse. Dette har vi undersøkt gjennom en induktiv casestudie av Norsk Hydro ASA ...,2021
826,"Reverse labeling: Does framing labels as losses promote more ethical, more eco-friendly, and healthier choices?","The purpose of this thesis is to investigate the effects of replacing standard labels (labels
framed as gains) with reverse labels (labels framed as losses) on making more ethical, more
eco-friendly, and healthier consumer ...",2021
829,The Role of Sustainability  Indicators and their Impact on  Decision-making and Control: A Case Study of Mestergruppen,"The climate crisis is happening much faster than anticipated and the construction industry has 
a big responsibility to become more sustainable since it stands for more than 15% of Norway’s 
total emissions. While the ...",2021
833,SPACs – Experts on Taxation?: An empirical study of SPACs and the role of taxation in their choice of jurisdiction,"A Special Purpose Acquisition Company (SPACs) is a listed shell company that raises money from 
the public markets for the purpose of acquiring a private company (Deloitte, 2020). This thesis 
investigates the structure ...",2021
834,Who Benefits in Times of Strife  and Uncertainty?: A study of mining companies in the Democratic Republic of  Congo,"In this thesis, we show that violence–escalating events lead to an increase in stock prices for 
mining companies holding concessions in the Democratic Republic of Congo (DRC). The 
increase in value is higher during the ...",2021
837,Diversity and IPOs : An empirical analysis of OSE listed firms from 2006-2019,The aim of this master’s thesis is to investigate whether top management diversity is associated with short-term firm performance in relation to initial public offerings (IPOs). We use a panel data sample consisting of 113 ...,2021
840,How do Alternative Asset Classes Affect Performance of Traditional Stock & Bond Portfolios? An Empirical Analysis of Strategic Asset Allocation and Risk Management through Business Cycles,"The main scope of this thesis is to examine how alternative asset classes affect performance
of traditional stock and bond portfolios. We will employ financial engineering and
quantitative analytics to construct the most ...",2021
845,Economic feasibility of microalgae as a source of biodiesel : Techno-economic and sustainability analyses,"Microalgae receive rising attention because of their capacity to generate biofuels. Cultured either in ponds or photobioreactors, they have a high growth rate, occupy smaller cultivation land area than other biofuel-generating ...",2021
849,Empirical Evidence of Lead-Lag Relation between the Norwegian CDS and Stock Markets : Using Vector Autoregression with Exogenous Variables (VARX) and Structured Regularization for Large Vector Autoregressions with Exogenous Variables (VARX-L) Framework,"The master thesis studies the lead-lag relation between the Norwegian CDS and stock markets with daily observations from June 24, 2010 to May 5, 2017 of three Norwegian firms, DNB Bank ASA, Telenor ASA, and Statoil ASA. I ...",2021
854,Co-Creation and Green Trust : Exploring the effects of co-creation on green trust and its implications for sustainable business model development,"Environmental sustainability is gaining rising attention, and for good reason. Consumers have realized the growing need for change and are now increasing their expectations towards companies’ sustainability efforts. As a ...",2021
858,How public bodies deal with technological uncertainty over time : An exploratory analysis through dynamic capabilities lenses,"The public actors are not exempt by the technological uncertainty, which increasingly affects both the private and public sector. Public organizations, and private actors, handle such uncertainty by deploying dynamic ...",2021
865,IPO Activity in Europe under the Covid-19 Pandemic : With a focus on the Norwegian IPO market,"This thesis seeks to provide comprehensive insights into the IPO activities in the top eight European IPO markets by capital raised in 2020, with an emphasis on the Norwegian IPO market, from the beginning of 2020 to the ...",2021
871,Momentum in Nordic Stock Returns : Industry Effects and Possible Strategy Improvements,"This thesis documents a strong momentum effect in the Nordic stock market that does not seem to be explained by traditional risk factors or industry effects, in contrast to the findings of Moskowitz and Grinblatt (1999). ...",2021
874,Development and analysis of static and dynamic pricing models for fresh fruit and vegetable retailers with food waste as a key consideration,"Fresh fruit and vegetable waste at retail locations is widely prevalent and often
accepted as a byproduct of food retailing. To recognize this source of food waste and
encourage change, the United Nations has introduced ...",2021
880,Combatting Climate Change with Carbon Capture and Storage (CCS) An exploratory study on the implementation of CCS in the Norwegian iron and steel sector.,"Today, Carbon Capture and Storage (CCS) is considered by many as the most credible and costeffective
method of combatting global warming and meeting the climate change targets. Despite
this, CCS remains a novel technology ...",2021
886,Explaining Individual Predictions on Financially Distressed Companies Using Shapley Values,"Prediction results from complex machine learning models can be challenging to interpret. Understanding these models is essential when trusting results in decision-making. In this master thesis, we will utilize Shapley ...",2021
887,"Has IMO 2020 changed bulk shipping? An empirical study on how vessel speeds, trading patterns, charter types and freight rates for individual fixtures have been affected by IMO 2020","This thesis examines how the IMO 2020 low-sulphur regulation has affected drybulk
shipping. Firstly, we examine which routes scrubber vessels sail compared to what
maritime economic theory would suggest. Secondly, we ...",2021
889,"The Relation Between Leverage, Beta, and Stock Returns An Empirical Study","This thesis aims to shed some light on, and hopefully add to the economic puzzle that is the relationship between leverage, return, and systematic risk. The theory surrounding this particular topic, suggests that there ...",2021
890,Does Corporate Governance Failure Facilitate Crime? An empirical study of companies domiciled in the US using textual data analysis,"This thesis aims to investigate whether corporate governance failures facilitate crime.
There is an arising awareness of corporate crime and the huge consequences of corporate
governance failures. Therefore, we explore ...",2021
